vid,did,vid_hex,did_hex,family,source
4096,227,1000,00E3,GenericPCI,pci_ids
4096,228,1000,00E4,GenericPCI,pci_ids
4096,229,1000,00E5,GenericPCI,pci_ids
4096,230,1000,00E6,GenericPCI,pci_ids
4096,231,1000,00E7,GenericPCI,pci_ids
4096,688,1000,02B0,GenericPCI,pci_ids
4096,689,1000,02B1,GenericPCI,pci_ids
4096,690,1000,02B2,GenericPCI,pci_ids
4096,1031,1000,0407,GenericPCI,pci_ids
4096,1032,1000,0408,GenericPCI,pci_ids
4096,4133,1000,1025,GenericPCI,pci_ids
4096,1033,1000,0409,GenericPCI,pci_ids
4096,1041,1000,0411,GenericPCI,pci_ids
4096,1043,1000,0413,GenericPCI,pci_ids
4096,1569,1000,0621,GenericPCI,pci_ids
4096,1570,1000,0622,GenericPCI,pci_ids
4096,1571,1000,0623,GenericPCI,pci_ids
4096,1572,1000,0624,GenericPCI,pci_ids
4096,1573,1000,0625,GenericPCI,pci_ids
4096,1574,1000,0626,GenericPCI,pci_ids
4096,1575,1000,0627,GenericPCI,pci_ids
4096,1576,1000,0628,GenericPCI,pci_ids
4096,1577,1000,0629,GenericPCI,pci_ids
4096,1600,1000,0640,GenericPCI,pci_ids
4096,1602,1000,0642,GenericPCI,pci_ids
4096,1606,1000,0646,GenericPCI,pci_ids
4096,1793,1000,0701,GenericPCI,pci_ids
4096,1794,1000,0702,GenericPCI,pci_ids
4096,4888,1000,1318,GenericPCI,pci_ids
4096,2052,1000,0804,GenericPCI,pci_ids
4096,2053,1000,0805,GenericPCI,pci_ids
4096,2054,1000,0806,GenericPCI,pci_ids
4096,2055,1000,0807,GenericPCI,pci_ids
4096,2305,1000,0901,GenericPCI,pci_ids
4096,4320,1000,10E0,GenericPCI,pci_ids
4096,4321,1000,10E1,GenericPCI,pci_ids
4096,4322,1000,10E2,GenericPCI,pci_ids
4096,4323,1000,10E3,GenericPCI,pci_ids
4096,4324,1000,10E4,GenericPCI,pci_ids
4096,4325,1000,10E5,GenericPCI,pci_ids
4096,4326,1000,10E6,GenericPCI,pci_ids
4096,4327,1000,10E7,GenericPCI,pci_ids
4096,6496,1000,1960,GenericPCI,pci_ids
4096,12368,1000,3050,GenericPCI,pci_ids
4096,12624,1000,3150,GenericPCI,pci_ids
4096,24577,1000,6001,GenericPCI,pci_ids
4096,49168,1000,C010,GenericPCI,pci_ids
4096,49170,1000,C012,GenericPCI,pci_ids
4096,49200,1000,C030,GenericPCI,pci_ids
4096,49204,1000,C034,GenericPCI,pci_ids
4096,49216,1000,C040,GenericPCI,pci_ids
4097,16,1001,0010,GenericPCI,pci_ids
4097,17,1001,0011,GenericPCI,pci_ids
4097,18,1001,0012,GenericPCI,pci_ids
4097,19,1001,0013,GenericPCI,pci_ids
4097,20,1001,0014,GenericPCI,pci_ids
4097,21,1001,0015,GenericPCI,pci_ids
4097,22,1001,0016,GenericPCI,pci_ids
4097,23,1001,0017,GenericPCI,pci_ids
4097,37120,1001,9100,GenericPCI,pci_ids
4098,4372,1002,1114,GenericPCI,pci_ids
4098,4868,1002,1304,GenericPCI,pci_ids
4098,4869,1002,1305,GenericPCI,pci_ids
4098,4870,1002,1306,GenericPCI,pci_ids
4098,4871,1002,1307,GenericPCI,pci_ids
4098,4872,1002,1308,GenericPCI,pci_ids
4098,6058,1002,17AA,GenericPCI,pci_ids
4098,4873,1002,1309,GenericPCI,pci_ids
4098,4874,1002,130A,GenericPCI,pci_ids
4098,4875,1002,130B,GenericPCI,pci_ids
4098,4876,1002,130C,GenericPCI,pci_ids
4098,4877,1002,130D,GenericPCI,pci_ids
4098,4878,1002,130E,GenericPCI,pci_ids
4098,4879,1002,130F,GenericPCI,pci_ids
4098,4880,1002,1310,GenericPCI,pci_ids
4098,4881,1002,1311,GenericPCI,pci_ids
4098,4882,1002,1312,GenericPCI,pci_ids
4098,4883,1002,1313,GenericPCI,pci_ids
4098,4884,1002,1314,GenericPCI,pci_ids
4098,5963,1002,174B,GenericPCI,pci_ids
4098,4885,1002,1315,GenericPCI,pci_ids
4098,4886,1002,1316,GenericPCI,pci_ids
4098,4887,1002,1317,GenericPCI,pci_ids
4098,4888,1002,1318,GenericPCI,pci_ids
4098,4891,1002,131B,GenericPCI,pci_ids
4098,4892,1002,131C,GenericPCI,pci_ids
4098,4893,1002,131D,GenericPCI,pci_ids
4098,5056,1002,13C0,GenericPCI,pci_ids
4098,5083,1002,13DB,GenericPCI,pci_ids
4098,5097,1002,13E9,GenericPCI,pci_ids
4098,5098,1002,13EA,GenericPCI,pci_ids
4098,5113,1002,13F9,GenericPCI,pci_ids
4098,5115,1002,13FB,GenericPCI,pci_ids
4098,5118,1002,13FE,GenericPCI,pci_ids
4098,5173,1002,1435,GenericPCI,pci_ids
4098,5210,1002,145A,GenericPCI,pci_ids
4098,5240,1002,1478,GenericPCI,pci_ids
4098,5241,1002,1479,GenericPCI,pci_ids
4098,5382,1002,1506,GenericPCI,pci_ids
4098,5390,1002,150E,GenericPCI,pci_ids
4098,5452,1002,154C,GenericPCI,pci_ids
4098,5218,1002,1462,GenericPCI,pci_ids
4098,5454,1002,154E,GenericPCI,pci_ids
4098,5457,1002,1551,GenericPCI,pci_ids
4098,5458,1002,1552,GenericPCI,pci_ids
4098,5473,1002,1561,GenericPCI,pci_ids
4098,5510,1002,1586,GenericPCI,pci_ids
4098,5555,1002,15B3,GenericPCI,pci_ids
4098,5567,1002,15BF,GenericPCI,pci_ids
4098,5576,1002,15C8,GenericPCI,pci_ids
4098,5592,1002,15D8,GenericPCI,pci_ids
